index,title,abstract,year,mdate,key,page,volume,journal,number,ee,url
10226,A safety criterion for reusing a business process in the desired integrated.,"Enterprises are witnessing increased thrust on collaboration and integration of existing applications to provide value-added services across the entire supply chain. Traditionally, enterprise applications are built as point solutions with context-specific built-in assumptions hard-coded in their implementation. Enterprise Application Integration discipline deals with the mechanism for integrating such isolated applications into a consistent whole. By modeling an enterprise application as a 3-tuple comprising of its data, service and process models, EAI problem can be visualized as view-integration problem over data, service and process models. This paper presents a pragmatic approach to analyze the process model of an existing application with respect the process model of desired application to identify and mitigate the conflicts in the built-in assumptions of two process models. A formal technique to analyze the process model at various levels of granularities and a set of operators to mitigate the conflicts are proposed. The proposed approach maximizes the reusability in the context of EAI.",2006,,,,,IEEE SCC,,,
10227,Services Science: Services Innovation Research & Education.,,2005,,,,,IEEE SCC,,,
10228,A Decentralized Services Choreography Approach for Business Collaboration.,,2006,,,,,IEEE SCC,,,
10229,Challenges to Reusable Services.,"Service-oriented architectures provide more hopes for reusable components. However, there are still many challenges for services to become a new paradigm to support reusable components. This paper analyzes the difficulties of software reuse and reusable components, discusses the fundamental processes to develop software with services, points out the major challenges for reusable services and proposes initial solutions.",2005,,,,,IEEE SCC,,,
10230,A model for extending legacy applications by implementing new requirements as components.,"This paper presents a model for creating applications by joining components and sending data in XML format. The model focuses on legacy applications and ones that are hard to be maintained. In order to analyse it, an implementation of some of its elements has been carried out and used for two experiments.",2006,,,,,IEEE SCC,,,
10231,Approaches to Establishing Multicast Overlays.,"In the past a few years, provision of an Internet-scale multicast with the use of application-level routing components has generated a lots of interests both within the research community and in the commercial world [1], [2], [3], [4]. Overlay Multicast is a concept representing such multicast scheme. Overlay multicast offers accelerated deployment, simplified configuration, and better access control. In this paper we present an overview of the existing overlay multicast solutions and classify them according to different criteria. Also we compared the performance between topologyindependent and topology-aware end-system multicast and performance difference of topology-aware end-system multicast and proxy-based multicast.",2005,,,,,IEEE SCC,,,
10232,Life Cycle Management of Personalized and Context-aware Mobile Services - Goals Requirements and Interfaces.,"This paper proposes key requirements and interfaces for the management of life cycle of context-aware and personalized mobile services. The main rationale behind the work presented here is that the service management component should be designed in such as a way that life cycle aspects should emerge from within service management components themselves as an integral part of overall services management. The features of context-aware applications and services should be reflected in life cycle management. Furthermore, standard practices of the mobile network industry must be taken into account for any serious effort to deal with this issue. All these aspects have guided and provided impetus for the work presented. Therefore this work is easily applicable in industry applications and proposes a clear-cut association between requirements and interfaces.",2006,,,,,IEEE SCC,,,
10233,Ontology Mapping For Interaction in Agent Society.,"We first discuss the semantic heterogeneity problem of interaction in large scale MAS. Based on agent society theory, we introduce a grouping method to decompose MAS by different domain or concept, and propose an ontology mapping mechanism to resolve the heterogeneity problem. In the agent society environment, we discuss both inter-society and intra-society ontology mapping method, and finally introduce the architecture of prototype system for ontology mapping in agent society. We also use user participation to improve our mapping quality. Our research is based on agent society environment, mainly focusing on interoperability between societies and interaction in society. Based on our research and analysis, we intend to do some works for future research activities.",2004,,,,,IEEE SCC,,,
10234,The First Step of Introducing Risk Management for Prepossessing SLAs.,"Using Service Level Agreements (SLAs) is a central concept for the Grid commercialization since customers require guarantees for a successful job execution. However, agreeing on SLAs is a business risk for resource providers: system failures can lead to paying tremendous penalties. Accordingly, resource providers require an estimation about the risk of agreeing on an SLA. Furthermore, risks can be published and integrated into the negotiations as an additional SLA parameter. Each offer is linked with a possible execution on a specific resource since the risk of failure depends especially on the resource's stability. Therewith making reservations is the initial step for integrating risk management into the Grid. This paper describes the necessary workflow and measurements for selecting a resource according to assessed risks. A global perspective is presented in order to afford user-specific configurations. Concrete examples for several measurements present one possibility for rating and the important input factors.",2006,,,,,IEEE SCC,,,
10235,How Clustering Enterprise Architectures helps to Design Service Oriented Architectures.,"The main target of IT architects being responsible for complex and heterogeneous IT architectures is to align IT to business needs at the lowest costs possible. A recent approach to this issue are Service Oriented Architectures (SOA). In order to design and deploy a SOA methodological and technological aspects have to be taken into account. This contribution focuses on methodological aspects like how to find appropriate service domains and an appropriate granularity of the services. Therefore existing business processes, organizational structures and their linkage with the different elements of an organization's IT landscape will be analyzed. The paper presents a software system for automatically analyzing enterprise architectures incorporating clustering algorithms developed for analyzing community structures in a network oriented fashion. It will be shown, how clustering and visualization of enterprise architecture networks improve the understanding of underlying structures of enterprise architectures and thus lead to a better design of SOA.",2006,,,,,IEEE SCC,,,
10236,Web Content Consistency Through Explicit Ownership Definition.,"In this paper, we would like to address the consistency problem for web content presentation through explicit ownership schemes. Our previous study [1] showed that for most content service networks, consistency problem arises because of the mis-matching of objects' attributes and pervasive contents. Our solution covers both protocols and supports for most of the necessary functions such as validation, delegation, presentation, etc. that need to be done in the network.",2006,,,,,IEEE SCC,,,
10237,Effective Acquisition of Geospatial Data Products in a Collaborative Grid Environment.,"Geospatial data is playing an increasingly important role in many areas. But there are still many problems associated with the effective use of geospatial data. One is that geospatial data is usually large in volume and is archived at geographically distributed data centers. Another is that the low-level geospatial data contains raw data instead of information that can be directly applied by users. In this paper, we discuss solutions to some of the problems based on the Grid and SOA technologies. Specifically, we propose an architecture that can effectively manage large volumes of distributed geospatial data, the concept of virtual geospatial data products, and a mechanism that supports on-demand productions of customized geospatial data products. A prototypical system based on the architecture and concept has been implemented and demonstrated.",2006,,,,,IEEE SCC,,,
10238,Data Quality Management using Business Process Modeling.,"The quality of data contained in the enterprise information systems has significant impact, both from the internal business decision-making perspective and the external regulatory and shareholder obligations. This paper addresses data quality assessment in business processes by proposing a modeling framework to quantify the data quality in an information processing system. We present a business process modeling framework for data quality analysis and develop the mathematical formulation for error propagation. This is overlaid with a business controls framework where the placement and effectiveness of the controls alter the propagation of errors. This framework enables the estimation and management of data quality when faced with changes in various aspects of the business process. It also allows the formulation of optimization problems that trade off the cost of business controls with the level or cost of the resultant data quality. We illustrate the modeling framework and analyses with a revenue management process.",2006,,,,,IEEE SCC,,,
10239,Mobile Web Services Trend Perspectives.,,2006,,,,,IEEE SCC,,,
10240,Contextual Spectrums in Technology and Information Platform.,"The Technology and Information Platform (TIP) is a three-dimensional architecture framework to effectively cope with the architecture complexity and manage the architectural assets of information system applications in a service-oriented paradigm. This holistic framework comprises the Generic Architecture Stack (GAS), which is made up of a series of architecture layers, and the Contextual Spectrums, which consist of the Process, Abstraction, Latitude, and Maturity (PALM) dimensions. This paper describes the detailed attributes in the four dimensions of the Contextual Spectrums. The Process dimension covers operations, risk, financial, resources, estimation, planning, execution, policies, governance, compliance, organizational politics, etc. The Abstraction dimension deals with what, why, who, where, when, which and how (6W+1H). The Latitude dimension includes principles, functional, logical, physical, interface, integration & interoperability, access & delivery, security, quality of services, patterns, standards, tools, skills, and so forth. Finally the Maturity dimension is about performance, metrics, competitive assessment, scorecards, capacity maturity, benchmarks, service management, productivity, gap analysis, transition, etc.",2006,,,,,IEEE SCC,,,
10241,Business Service Management: The Impact of IT Governance Models on IT Management Policies.,"The nature of the relationship between the IT function and the Lines of Business shapes the policies for managing business services. In particular, the selection of lines of authority and and financial model for the ITfunction dictates which business objectives drive the management of competing business demands for shared IT resources and services. This paper proposes to model business service management policies in a three-layer hierarchy and studies the impact of IT Governance models on those policies. A software embodiment for the management of those policies is also highlighted.",2006,,,,,IEEE SCC,,,
10242,Service Oriented Architecture for E-health Support Services Based on Grid Computing Over.,"Accepting recent proposals to supporting dependable e-health enterprise systems via the adoption of emerging autonomic grid computing and Services-Oriented Architecture (SOA); this paper presents the motivations for a novel semantics/knowledge plane for a serviceoriented e-health middleware and applications. The paper starts by a detailed description of a developed sensor and actuator framework and overlay. This will be followed by, and illustrated using a remote healthcare monitoring scenario. A case-study of pregnancy monitoring is used to illustrate the design and usability of such a grid overlay. Finally, the paper concludes with general remarks and a statement of further work. Keywords: E-Health, SOA, Web Services, Grid Computing, Autonomic System, Multiple Regression Analysis, Sensor Framework",2006,,,,,IEEE SCC,,,
10243,An Approach to Modeling Service-Oriented Development Process.,"To integrate heterogeneous distributed systems, there exist various researches and developments for the purpose of its adoption into enterprise environment. However, when service-oriented technologies are applied, it is difficult to adopt directly existing software system development methodologies, because of the primary elements of service-oriented architecture such as service provider, service requestor and service repository. In this paper, we define a conceptual model for developing systems in service-oriented computing. The model involves procedures and guidelines based on the Use Case model that is elicited from a business domain in requirement analysis. We focus on how to identify and how to determine key realization decisions for each service. The benefit of the identification method based on the Use Case model is that the service has reflected the business of the domain well and is in its proper granularity. The assessment guideline can help the settlement of a problem that is to determine the implementation strategy.",2006,,,,,IEEE SCC,,,
10244,A Distributed Service Management Infrastructure for Enterprise Data Centers Based on Peer-to-Peer Technology.,"This paper presents a distributed service management infrastructure called BISE. One distinguishing feature of BISE is its adoption of the Peer-to-Peer (P2P) model in support of realtime service managements. BISE offers significant advantages over existing systems in scalability, resilience, and manageability. Current P2P algorithms are mainly developed for the file-sharing applications running on desktops, which have characteristics dramatically different from enterprise data centers. This difference led us to design our own P2P algorithms specifically optimized for enterprise environments. Based on these algorithms, we implemented a P2P substrate called BiseWeaver (25,000 lines of Java code) as the core of BISE. Our evaluation on a set of distributed machines shows that BiseWeaver is efficient and robust, and provides timely monitoring data in support of proactive SLA management.",2006,,,,,IEEE SCC,,,
10245,Memory Servers: A Scope of SOA for High-End Computing.,"The expanding gap between microprocessor and disk performance has initiated new techniques of providing memory as a service in high-end computing (HEC). Although the processor and disk densities have improved over the last decades, the improvement of disk performance is inferior to that of processors, which is causing a bottleneck for HEC. With the rapid growth of network technology for cluster computers, the idea of accessing memory of an idle peer node has proven to be faster than accessing a disk. With this motivation, many researchers developed systems that offer idle memory as a service. In this paper, we present a brief survey of various systems that offer memory service in improving the disk access performance and discuss the scope of applying service oriented architecture (SOA) for HEC.",2006,,,,,IEEE SCC,,,
10246,Process control-flow complexity metric: An empirical validation.,"Organizations are increasingly faced with the challenge of managing business processes, workflows, and, recently, Web processes. One important aspect of processes that has been overlooked is their complexity. High complexity in processes may result in bad understandability, errors, defects, and exceptions leading processes to need more time to develop, test, and maintain. Therefore, excessive complexity should be avoided. This paper describes an experiment designed to validate the Control-Flow Complexity (CFC) metric that we have proposed in our previous work. In order to demonstrate that our CFC metric serves the purpose it was defined for, we have carried out an empirical validation by means of a controlled experiment. The explanation of the steps followed to do the experiment, the results, and the conclusions obtained are the main objectives of this paper.",2006,,,,,IEEE SCC,,,
10247,Ubiquitous Provision of Context Aware Web Services.,"Context-aware Web service is an interactive model between the context of service requesters and the services in Web-enabled environments. We envision that providing context-aware services is the first step toward ubiquitous Web services to enhance current Web-based e-business by finding right business partners, right business information, and right business services in the right place at the right time. The major contributions of this paper are the development of our context model and Context Aware Service Oriented Architecture (CA-SOA). We have developed a context model to formally describe and acquire contextual information pertaining to the service requesters and services. Based on the model, we have constructed CA-SOA for ubiquitous Web service discovery and access based on service and requesters' surrounding context.",2006,,,,,IEEE SCC,,,
10248,ITSGrid: A Novel Integrated Intelligent Transportation Information and Service Platform.,"With increasing demands of effective and efficient transportation from our society, the transportation issue has become a noticeable obstacle to the economic development for all countries and regions to a great extend. ITS (Intelligent Transportation Systems) technology is brought forward and considered as an effective approach that promises to alleviate many transportation problems such as traffic congestion, high accident rate, air pollution, and improve safety and reliability on existing roadway system. However, current ITS architectures do not give proper answers to some important problems in ITS such as how to integrate heterogeneous data on the semantic level, how to manage dynamic business process, how to cooperate ITS subsystems among different domains, how to communicate among traffic control center and road sensor network, etc. Hence, a fundamental shift in approach is needed to effectively resolve these complex problems.Fortunately, Grid technology, Semantic Web technology, Web Service technology, Messaging Oriented Middleware (MOM) technology bring us great chance to build a integrated platform for ITS to solve the beforementioned issues. Grid Computing is an ideal technology to realize resource sharing in distributed heterogeneity environments. Semantic Web offers a great opportunity to support data semantization based on a domain-specific ontology database. Process coordination based on Web Service gives a unified way to cooperate ITS subsystems among different organizations. Messaging Oriented Middleware enables distributed communication that is loosely coupled, reliable, and asynchronous in complex network environment.In this paper, we explore four technologies to build a novel Integrated Intelligent Transportation Information and Service Platform to realize traffic data semantization, traffic resource sharing, cooperation traffic process As a result, a key project for ITISP, ITSGrid, was started up by Zhejiang University and Hangzhou Enjoyor Electronics Co. Ltd in 2005. ITSGrid is an undergoing joint engineering project designed and developed by CCNT Lab in Zhejiang University and Enjoyor Electronics. The new features of ITSGrid are originated from two important research projects - DartGrid and DartFlow, and one key engineering project - JTang Application Server, in CCNT Lab. Its goal is to build intelligent transportation information and service platform, to integrate traffic data resources collected by Enjoyor and cooperate existing ITS subsystems and services deployed by Enjoyor, finally serve for transportation construction in China.",2006,,,,,IEEE SCC,,,
10249,Service-Oriented Modeling and Architecture for Realization of an SOA.,"Focus of this paper is to highlight some of the key considerations in developing services in SOA environment. These are based on lessons learnt and experience gained through SOA engagements. High level view of IBM's Service Modeling Technique known as SOMA (Service Oriented Modeling Architecture) is provided here This technique consists of three key steps Identification, Specification and Realization of Services, Components and Flows.",2006,,,,,IEEE SCC,,,
10250,Service Contract Template.,"Loose coupling is a cornerstone for Service- Oriented Architecture (SOA). Service contracts enable loose coupling, because they hide service-internal details from the outside world behind a facade. In the Web Services world, the service contract is commonly understood as a WSDL document possibly decorated with WS-Policy annotations. Such formal XML description is not immediately useful to business people. This paper proposes the notion of a service metadata document that contains human-readable business aspects of the service in addition to technical artifacts. Stakeholders at the business and technical level work collaboratively on the service metadata document and use it as a common framework for discussion. We see the service contract as a composition of functional metadata and a set of policies, such as security constraints, access restrictions for user groups, transport and service level agreements, charging, etc. For example, enterprises will often have different security requirements when a service is consumed from within the company than when it is consumed by an external business partner. The service lifecycle will be initiated by business people on the basis of a service contract template; the first step is a high-level description of the desired service characteristics. In an iterative process the document is then successively refined as it percolates from the management level to service architect and other stakeholders and as business requirements are tested against technical realities. Technical artifacts (WSDL, XSD, etc.) are added to the service contract and could be placed in a registry so that the service is visible to other departments or external partners. The clear distinction between service metadata and policies also helps maintaining a consistent model over runtime WSDL proliferation. Typically, policies are enforced by intermediaries, such as XML firewalls, enterprise service bus (ESB) or other WSinfrastructure. Each such intermediary offers a virtual service endpoint to the actual service implementation.",2006,,,,,IEEE SCC,,,
10251,Personalized Active Service Spaces for End-User Service Composition.,"End-user service composition is a promising way to ensure flexible, quick and personalized information provision and utilization, and consequently to better cope with spontaneous business requirements. For end-users to compose services directly, issues like service granularity, service organization and businesslevel semantics are critical. End-users will certainly be at loss if they have to select from a long list of available Web services expressed in IT jargons. This article introduces the concept of personalized active service spaces and focuses on the use of business services, service dependency rules, and service personalization rules to support end-user service composition. It addresses two key issues in end-user composition: how to utilize the user preference and context to restrict the scope of applicable services for selection, and how to capture and utilize dependencies or usage patterns between services in order to provide guidance and enforce temporal/sequential restrictions on service invocations for end-user service compositions.",2006,,,,,IEEE SCC,,,
10252,Web Services - A View from the Top.,,2006,,,,,IEEE SCC,,,
10253,A Dynamic-SOA Home Control Gateway.,"The convergence of smart field devices and business services stands to profoundly change the way we interact with our environment. This is especially true in the home context. In this paper, we present an open architecture and a dynamic service-oriented gateway running home services. The gateway is based on the OSGi standard and provides mechanisms to integrate different service technologies.",2006,,,,,IEEE SCC,,,
10254,Large Scale Order Processing through Navigation Plan Concept.,"Order processing is an important application on Services Computing. On the conceptual side, business process management helps model such applications. On the practical side, workflow systems help implement such systems. We propose the Navigation Plan concept for order processing. Business steps in order processing are mapped into Process Algebra and composed into Navigation Plans. On the practical side, Navigation Plans are directly executed in the RiverFish Architecture, thus guaranteeing the properties predicted by Process Algebra. Thus a well-defined order processing application is implemented into a reliable cooperative information system. A widely used application (the DECA system for requesting business TaxID involving several government agencies) demonstrates the usefulness of the Navigation Plan concept in practice.",2006,,,,,IEEE SCC,,,
10255,Model Driven Distribution of Collaborative Business Processes.,"In this paper, we present a top down approach for integrated process modelling and distributed process execution. The integrated process model can be utilized for global monitoring and visualization and distributed process models for local execution. Our main focus in this paper is the presentation of the approach to support automatic generation and linking of distributed process models from an integrated process definition.",2006,,,,,IEEE SCC,,,
10256,Optimal Asynchronous Service Scheduling in BISON.,"In this paper, we present some of our experiences from the architectural design phase of Business Information Analysis service provisioning system, BISON. More specifically we discuss the issues, challenges, and our solution approaches to asynchronously scheduling the service requests in an optimal manner to enhance the user experience in the system.",2006,,,,,IEEE SCC,,,
10257,A Novel Business Model for Web Service Composition.,"Web service composition is a mechanism for creating new services (with new functionalities) from the existing services. A business model defines the different parties involved in service provisioning and their relationships. Current Web service business models do not handle Web service composition explicitly, so we propose a novel business model to alleviate this deficiency. In this proposal, we introduce one new business role and two specialized business roles. We also propose four new relations for interaction between the business roles. We provide a concrete means for implementing two of the proposed interactions by extending the subscription API of UDDI version 3 with two new methods.",2006,,,,,IEEE SCC,,,
10258,Data Management System in Manufacturing Grid.,"Data management plays an important role in the fields of grid system. In conventional fields of software applications, like e-business applications, the single logical view of various types of distributed data resource and fine-grained access control are the most important requirements. The design and implementation of data management system which is responsible for meeting these requirements in the ebusiness application is proposed in this paper. The developed prototype of this data management system, as a very important component of the service-oriented Manufacturing Grid (MGrid) project, provides one single logical view to multiple heterogeneous storage resources so that these resources can be used in a uniform way by higher level applications. Also, finegrained access control and the better reliability, manageability, location transparency, expandability and performance are also provided.",2006,,,,,IEEE SCC,,,
10259,On Exploiting System Dynamics Modeling to Identify Service Requirements.,"SOA provides a flexible framework for betterintegrated systems that meet business needs. However, the existing methods are not successful in helping business analysts to devise appropriate business services. Herein, a novel approach is presented to address service identification and thereby developing sound SOA. In contrast with conventional methodologies, we press on the criticality of exploiting the information of dynamic business behavior to develop business services.",2006,,,,,IEEE SCC,,,
10260,Coupling RDF/RSS and WSRP for Dynamic Reusable Portlets: An Approach and a Use Case.,"The need for cost-effective platform independent means of application invocation has fuelled technologies like Web services. Web services technology has found its application in a number of interesting ways, one of them being in creation of universal interoperable remote portlets. Web Services for Remote Portlets (WSRP) is a standard that allows aggregator applications to consume remote portlets based on Web services interfaces. XML vocabularies like RSS (Really Simple Syndication) or domain specific syndication syntactic frameworks allow for creation of raw data that can understood by a wide range of consuming portals and web sites. Usually individual aggregators consume these raw data feeds and render it in some required UI (User Interface) format. This approach requires that every single aggregator have a custom rendering application for generation of user specific UI, leading to considerable replication of effort. We take a wholistic view of the problem statement and propose an end to end architectural approach that combines usage of WSRP along with XML syndication feeds like RSS for creation of standards based, customizable, and dynamically generated reusable UI that can be consumed by aggregators like Portals.",2006,,,,,IEEE SCC,,,
10261,m3po: An Ontology to Relate Choreographies to Workflow Models.,"External business processes (choreography models) are currently disconnected from internal processes (workflow models), which leads to synchronisation and verification problems. Connecting these by directly mapping internal to external processes requires a quadratic amount of mappings; an intermediate ontology reduces the amount of necessary mappings but is not trivial to construct due to the variety in workflow meta-models. We introduce our multi meta-model process ontology ( m3po), which is based on various existing reference models and languages from the workflow and choreography domain. The m3po ontology relates workflow models to choreography models and allows choreography extraction from internal workflow models. An initial validation is given by translating an IBM Websphere MQ Workflow model into the m3po ontology and subsequently extracting an Abstract BPEL model from the ontology.",2006,,,,,IEEE SCC,,,
10262,Web Services based SOA for Next Generation Telecom Networks.,"Network operators are now on a journey towards a Next Generation Network (NGN) built on horizontal ""planes"", moving away from traditional vertical structure networks for fixed voice and data communication networks. IP Multimedia Subsystem (IMS) is a part of wider network transformation to Next Generation (NG) Networks. The IMS core network has a common IP based transport plane and a common signalling or control plane, and it can be accessed by different access networks. IMS provides a control layer based on an end-to-end based Session Initiation Protocol (SIP) that can control a session and remain agnostic of the access network. This innovation in the telecom industry where more intelligence is moving to the edge, can be closely linked to another innovation in the IT industry, where applications are being rendered as re-usable components, or services as we may refer to them. Such components, when made available on the web are referred to as Web Services. IBM's service enablement solution in the NGN space is based on three strategic tenets. First of all, it makes use of the common IP transport plane and the web services realization mechanism as a backbone for composite services within a single session. This would help network operators to generate revenue in a converged Telecom network. Secondly, it uses web services to automate the entire lifecycle of a service. This leads to automation of the Service Delivery Platform (SDP), which in turn allows third party application providers to deploy services by using the services exposed by Network Provider. Finally, as premium composite services are deployed to the end user, he/she would have a higher Quality of Experience (QoE). IMS provides a per-subscriber control of QoS as part of QoE. As the subscriber uses various composite services, the IMS ability to control QoE/QoS, becomes a huge differentiator for IMS over just uncontrolled access over the internet. In other words, IMS QoE encompasses QoS, enhanced GUI and IMS Composite Service, and not be just the experience of using the Composite service. This paper will discuss how IBM's SDP solution leverages SOA principles and uses a web services based platform to implement composite services, addressing all stages of the service lifecycle - service creation, service deployment, service delivery and service management. We shall also discuss how this platform has been implemented in AT&T, USA.",2006,,,,,IEEE SCC,,,
10263,SOA Services and Solutions.,"This tutorial will share with the audience on how to leverage the foundational knowledge of Service- Oriented Architecture (SOA) and Web services to build service-oriented business consulting method, enable Software As Services and Services As Software. Advanced SOA techniques are covered in the following topics: services publishing and discovery, business services relationship modeling, business requirements-driven services composition, services value chain collaboration, business process integration and modeling, enterprise modeling, and project-based business performance management. A Services Engineering method and delivery framework will be discussed as a case study. The target audiences are all-level researchers, practitioners, and students. From this tutorial, the audiences could learn the actual service delivery processes, technologies, and methodologies in the entire service delivery life cycle. This tutorial material is created for the IEEE Body of Knowledge initiative on Services Computing, which is sponsored by the IEEE Computer Society Technical Committee on Services Computing.",2006,,,,,IEEE SCC,,,
10264,Develop Service Oriented Finance Business Processes: A Case Study in Capital Market.,Current business process development is a process that needs to apply software development principles and at the same time incorporate the special requirements of service oriented architecture (SOA). In this paper we will discuss the steps and principled involved in developing service oriented finance business process in the domain capital market.,2006,,,,,IEEE SCC,,,
10265,SOAF: An Architectural Framework for Service Definition and Realization.,"Service Oriented Architecture (SOA) is an approach for building distributed systems that deliver application functionality as a set of self-contained business-aligned services with well-defined and discoverable interfaces. This paper presents a systematic and architecture-centric framework, named Service Oriented Architecture Framework (SOAF), to ease the definition, the design and the realization of SOA in order to achieve a better business and IT alignment. The proposed framework is businessprocess centric and comprises a set of structured activities grouped in five phases. It incorporates a range of techniques and guidelines for systematically identifying services, deciding service granularity and modeling services while integrating existing operational/legacy systems. The results from a pilot validation of SOAF for SOA enablement of a realistic Securities Trading application are presented. Best practices and lessons learned are also discussed.",2006,,,,,IEEE SCC,,,
10266,QoS Support for Media Broadcast in a Services Oriented Architecture.,"Service-oriented architectures allow content providers to enable easy and transparent access to multimedia content for their clients as well as outsource non-strategic streaming services to thirdparty providers. We design a QoS framework and associated algorithms that can provide prioritized and fair media streaming based on service level agreements. We formulate the QoS support as a Multiple Choice Multiple Knapsack optimization and design several low-complexity algorithms to provide approximate solutions. We bound the performance of these algorithms, and evaluate them in terms of the number of clients supported and QoS provided over realistic simulation scenarios.",2006,,,,,IEEE SCC,,,
10267,Service Views: a Coherent View Model of the SOA in the Enterprise.,"Architecture views are a popular technique used for documenting and describing software systems architecture through a number of views, each of which cater to a certain group of stakeholders. With the increasing adoption of service oriented architecture and the deployment of Web Service based applications both internally and externally, organizations need an improved framework for representing and documenting the service architecture. To this end, we propose a well defined set of views that describe services within the enterprise, including primitive as well as composite service views. In this manner, the proposed model achieves consistency and coherence among different views, thus providing a unified view model for service oriented systems within an organization.",2006,,,,,IEEE SCC,,,
10268,A domain-specific service-oriented development environment.,"The seamless integration of software applications supporting business activities and field devices belonging to the plant floor is one of the great challenges of the IT world. This requires to build Internet scale distributed systems in complex, heterogeneous environments characterized by stringent requirements regarding security and evolution. In this paper, we argue that software engineering tools are needed in order to facilitate the work of application developers. This paper presents a Model-Driven Engineering approach for the development of a specific tool, dedicated to the development of industrial services for power distribution industry.",2006,,,,,IEEE SCC,,,
10269,An SOA Compass for Next Generation Networks.,"Next Generation Networks (NGNs) are faced with a perennial problem of adding newer services at a very short time period, and with very high levels of quality, and this has really made them think of innovative solutions to quickly adapt to the situation. It is imperative that the NGN service providers consider and use Service Oriented Architecture (SOA) and its principles to achieve business goals and optimize longterm capital investment without compromising customer experience. We have studied the current problems faced by NGN Service Providers, and arrived at an innovative solution based on mathematical model to assist the Next Generation Network (NGN) service providers to use quantitative metrics to reach higher levels of service orientation. In addition, this methodology can be used to measure and optimize every investment made towards SOA alignment. Also, this methodology can be used to perform ""what-if"" analysis, in order to assess the impact of the business decisions without actually implementing those decisions.",2006,,,,,IEEE SCC,,,
10270,Service-Oriented Computing Kit.,"This paper describes a Service-Oriented Computing Kit (SOCK), which is an overarching framework covering the key artifacts in planning, modeling, designing, developing, deploying, and managing service-oriented solutions in the enterprise computing space. Based on a divide-and-conquer strategy, this comprehensive kit is a systematic taxonomy to abstract complexities and organize the major aspects of service-oriented development, so that the roles, responsibilities, accountabilities, skillsets, procedures and deliverables can be clearly defined for the IT teams to effectively construct service-oriented systems. SOCK comprises eight modules - Architecture, Process, Integration, Environment, Technology, Development, Management, and Roadmap. Each module addresses specific technical concerns in particular areas. SOA provides the service definitions, service catalog, service composition, scope of applications and portfolios, and service architecture modeling methodology. SOP deals with the business process management, process modeling & notations, process orchestration, coordination/collaborations, human interactions, and 1-phase commit compensation for long-lived processes. SOI concentrates on the service interoperability, integration patterns, enterprise service bus, traditional synchronous/asynchronous enterprise application integration, and integration with portals and content management systems. SOE consists of the runtime infrastructure, service registry for discovery and directory, service transformation/routing gateway, service virtualization via grid computing, and quality-of-services compliance with service-level agreements. SOT covers the implementation technologies - web services, standards and specifications, technical patterns, convergence, and aspect-oriented techniques. SOD is composed of the development lifecycle, programming model, design/development tools, frameworks, reusable utilities/toolkits/components, and model-driven approaches. SOM includes services & policies repository in service identification and categorization, security mechanisms, business activity monitoring, reporting, BI, and provisioning. SOR handles the planning/blueprint, strategy, KPI dashboards, governance, and organization. The elements in each module are further decomposed to form loose semantic associations. This holistic kit has been implemented on an open source mind-mapping platform, which is used in guiding the migration from the conventional multi-tier web application style to a service-oriented paradigm in the financial services sector, and SOCK has proven to be an effective approach to pragmatically transitioning to the new computing mode.",2006,,,,,IEEE SCC,,,
10271,Discovering HealthGrid Services.,"HealthGrids represent the next generation of advanced healthcare IT and hold the promise to resolve complex healthcare problems by integrating health information systems and healthcare entities. Healthcare could benefit from a new delivery approach using HealthGrids to better meet the bio-medical and health-related needs. Specialized services are needed to provide unified discovery of and ubiquitous access to available HealthGrid resources. This paper identifies different types of services available on HealthGrids and classifies them into two-levels, the Operational Level and the Management Level.",2006,,,,,IEEE SCC,,,
10272,SOA and Web Services.,"This tutorial presents the foundational knowledge for the researchers and practitioners on Service- Oriented Architecture (SOA) and Web services. The traditional ""triangleÂ” SOA and variations that better support SOA services and solutions will be examined. Critical Web services infrastructures will be covered, such as WSDL, BPEL, WSRF, Discovery, Composition, Registry, and Web services invocation and relationship binding. How Web 2.0 and SOA can benefit with each other will also be explored. An IEEE SOA Solution Reference Architecture standardization initiative will be introduced in this tutorial to illustrate how different pieces of technology components can be used to build reusable, flexible, and extensible SOA solutions. Finally, the presenter will depict research and development challenges and directions in the field of SOA and Web services. The target audiences are all-level researchers, practitioners, and students. This tutorial material is created for the IEEE Body of Knowledge initiative on Services Computing, which is sponsored by the IEEE Computer Society Technical Committee on Services Computing.",2006,,,,,IEEE SCC,,,
10273,Business Process Adaptations via Protocols.,"Business process management in service-oriented computing (SOC) environments poses special challenges. In particular, SOC environments are dynamic, thereby requiring frequent changes in business processes. Current business process modeling approaches handle such changes in an ad hoc manner, and lack a principled means of determining what needs to be changed and where. This paper addresses process adaptability through a novel application of business protocols, especially of protocol composition, introduced in our previous work. Through a real business scenario of auto-insurance claim processing, this paper demonstrates how a wide range of adaptations can be handled naturally and systematically via protocol composition. The illustrated adaptations have been evaluated via a prototype.",2006,,,,,IEEE SCC,,,
